sep=,
Group,Side,TF,Indicator,N,Mean,Median,Q25,Q75,Min,Max
ALL,ALL,M1,RSI,9380,43.641132,44.250135,30.435560,53.656929,3.924580,94.402145
ALL,ALL,M1,ADX,9380,32.057507,29.756680,22.876139,39.124408,9.852506,89.058620
ALL,ALL,M1,CCI,9380,-35.233687,-29.945256,-162.395647,94.649832,-466.666667,466.666667
ALL,ALL,M1,DI_PLUS,9380,17.674558,16.140746,11.034388,22.128536,0.632639,63.449951
ALL,ALL,M1,DI_MINUS,9380,23.553508,20.910737,15.208328,32.159281,0.844357,65.253018
ALL,ALL,M1,DI_GAP,9380,15.151541,12.214008,4.779104,24.434550,0.004206,60.382693
ALL,ALL,M1,ATR,9380,0.738189,0.415000,0.243750,0.778750,0.020750,20.077500
ALL,ALL,M1,ATR_PCT_PRICE,9380,0.033846,0.024777,0.015759,0.039934,0.001635,0.454561
ALL,ALL,M1,EMA200_DIST_POINTS,9380,355.541362,189.358151,85.880552,387.850661,0.019144,14063.641144
ALL,ALL,M1,EMA200_DIST_ATR,9380,-1.864404,-2.732484,-5.752176,2.221995,-53.209614,38.280843
ALL,ALL,M5,RSI,9380,44.142868,42.487704,33.027381,54.287876,5.435312,89.299286
ALL,ALL,M5,ADX,9380,32.945768,30.782279,23.682196,40.364355,8.736896,85.277864
ALL,ALL,M5,CCI,9380,-63.465452,-94.549218,-151.715730,37.807685,-466.666667,466.666667
ALL,ALL,M5,DI_PLUS,9380,15.217024,12.998244,8.971075,19.750388,0.838946,52.668924
ALL,ALL,M5,DI_MINUS,9380,22.907986,23.573301,15.432197,30.006041,0.887928,54.930700
ALL,ALL,M5,DI_GAP,9380,15.923010,15.638247,8.753280,22.364860,0.000576,50.541625
ALL,ALL,M5,ATR,9380,1.584926,0.960625,0.587250,1.672813,0.089500,40.461000
ALL,ALL,M5,ATR_PCT_PRICE,9380,0.072237,0.056793,0.038668,0.087383,0.006766,1.106264
ALL,ALL,M5,EMA200_DIST_POINTS,9380,652.009118,356.396027,158.588078,725.065925,0.077456,29877.625254
ALL,ALL,M5,EMA200_DIST_ATR,9380,-0.518531,-0.900557,-4.155832,3.061708,-54.339991,51.638209
ALL,ALL,M15,RSI,9376,46.431331,45.910947,36.814345,55.474025,7.383082,91.970111
ALL,ALL,M15,ADX,9376,30.309025,27.948847,21.989024,36.128226,9.519466,88.801384
ALL,ALL,M15,CCI,9376,-50.238651,-72.541383,-146.793027,48.635257,-466.666667,460.089673
ALL,ALL,M15,DI_PLUS,9376,15.999440,14.538775,10.256825,20.333452,0.523014,50.564303
ALL,ALL,M15,DI_MINUS,9376,21.571814,21.435644,15.020114,27.919478,1.117575,53.668770
ALL,ALL,M15,DI_GAP,9376,13.500393,12.494608,6.231848,19.457043,0.000067,47.698488
ALL,ALL,M15,ATR,9376,2.632423,1.615625,1.011938,2.815438,0.189750,72.907500
ALL,ALL,M15,ATR_PCT_PRICE,9376,0.120287,0.096464,0.067662,0.145388,0.014916,1.765338
ALL,ALL,M15,EMA200_DIST_POINTS,9376,1092.414969,623.910875,279.290684,1235.074404,0.003584,46096.915336
ALL,ALL,M15,EMA200_DIST_ATR,9376,0.095406,-0.113207,-3.799453,3.862536,-43.662902,50.689819
ALL,ALL,M30,RSI,9372,47.882285,47.520590,39.054735,56.517139,7.388724,90.201408
ALL,ALL,M30,ADX,9372,29.715574,27.226543,21.361237,35.918905,9.060608,88.928684
ALL,ALL,M30,CCI,9372,-34.936638,-42.056386,-127.565656,56.359877,-461.832537,466.666667
ALL,ALL,M30,DI_PLUS,9372,16.624418,15.637929,11.148802,21.218046,0.994415,48.531876
ALL,ALL,M30,DI_MINUS,9372,20.190873,19.827912,14.106951,25.741267,0.939926,50.810502
ALL,ALL,M30,DI_GAP,9372,11.919444,10.537425,5.081854,17.339001,0.004616,46.136577
ALL,ALL,M30,ATR,9372,3.719363,2.299625,1.453438,3.986812,0.367000,83.926750
ALL,ALL,M30,ATR_PCT_PRICE,9372,0.169939,0.138360,0.098136,0.205618,0.026588,2.032152
ALL,ALL,M30,EMA200_DIST_POINTS,9372,1497.209822,855.991576,380.931334,1674.889356,0.191241,59490.243776
ALL,ALL,M30,EMA200_DIST_ATR,9372,0.362870,0.353993,-3.260190,3.830174,-32.898006,39.846463
ALL,ALL,H1,RSI,9363,49.016385,48.674143,40.422946,57.873343,8.332642,88.217262
ALL,ALL,H1,ADX,9363,29.566072,27.456571,21.241450,35.450614,9.046572,86.962608
ALL,ALL,H1,CCI,9363,-19.292165,-20.429871,-103.633813,66.793512,-456.711993,370.926804
ALL,ALL,H1,DI_PLUS,9363,17.148356,16.270681,11.854125,21.552204,1.480411,48.366814
ALL,ALL,H1,DI_MINUS,9363,18.827252,18.225014,13.069631,23.943696,0.797203,50.758862
ALL,ALL,H1,DI_GAP,9363,11.054803,9.582805,4.421287,16.155392,0.002920,44.582425
ALL,ALL,H1,ATR,9363,5.317962,3.322500,2.122125,5.581125,0.627250,149.765000
ALL,ALL,H1,ATR_PCT_PRICE,9363,0.242123,0.199832,0.142130,0.291532,0.049213,3.234515
ALL,ALL,H1,EMA200_DIST_POINTS,9363,2051.533585,1183.193899,508.213303,2372.442725,0.117430,73020.813117
ALL,ALL,H1,EMA200_DIST_ATR,9363,0.559545,0.700593,-2.752800,3.979020,-29.594933,28.089176
ALL,ALL,H4,RSI,9290,50.448803,50.695266,42.307146,58.690076,10.416686,92.544762
ALL,ALL,H4,ADX,9290,29.982247,27.736483,21.521425,36.216413,8.408214,83.878545
ALL,ALL,H4,CCI,9290,0.099654,2.241794,-81.454078,81.957038,-440.069959,366.579580
ALL,ALL,H4,DI_PLUS,9290,18.149127,17.451480,12.770171,22.821700,1.872096,56.664731
ALL,ALL,H4,DI_MINUS,9290,17.596025,17.036768,12.239880,22.280708,1.143058,50.113185
ALL,ALL,H4,DI_GAP,9290,10.684951,9.240521,4.291984,15.560700,0.003882,50.389069
ALL,ALL,H4,ATR,9290,10.357145,6.537250,4.330313,10.499500,0.958250,236.049000
ALL,ALL,H4,ATR_PCT_PRICE,9290,0.465856,0.396494,0.290414,0.547773,0.074491,5.034332
ALL,ALL,H4,EMA200_DIST_POINTS,9290,4289.881693,2508.553080,1124.960563,4995.025157,0.147989,83851.475473
ALL,ALL,H4,EMA200_DIST_ATR,9290,1.002459,0.951492,-2.677227,4.891205,-33.675090,23.536023
ALL,BUY,M1,RSI,7081,37.855689,37.093587,27.830493,48.110530,3.924580,90.967288
ALL,BUY,M1,ADX,7081,32.185365,29.820007,22.985633,39.288788,9.852506,89.058620
ALL,BUY,M1,CCI,7081,-64.212103,-63.151343,-181.233568,63.676799,-466.666667,466.471357
ALL,BUY,M1,DI_PLUS,7081,15.272879,14.425850,9.826572,19.667773,0.632639,55.825725
ALL,BUY,M1,DI_MINUS,7081,26.210810,24.480212,17.172565,34.699758,0.844357,65.253018
ALL,BUY,M1,DI_GAP,7081,15.457541,12.661764,4.954386,24.754204,0.005074,58.532849
ALL,BUY,M1,ATR,7081,0.760316,0.418250,0.245000,0.799000,0.020750,20.077500
ALL,BUY,M1,ATR_PCT_PRICE,7081,0.034645,0.025121,0.015863,0.040694,0.001635,0.424861
ALL,BUY,M1,EMA200_DIST_POINTS,7081,359.317570,186.654578,84.975828,384.661980,0.019144,14063.641144
ALL,BUY,M1,EMA200_DIST_ATR,7081,-3.939080,-4.119353,-6.612912,-1.297045,-53.209614,36.389538
ALL,BUY,M5,RSI,7081,38.361153,37.788733,30.588207,45.781441,5.435312,83.192331
ALL,BUY,M5,ADX,7081,32.845729,30.759836,23.685613,40.140308,8.736896,85.277864
ALL,BUY,M5,CCI,7081,-122.202886,-120.417244,-170.158134,-78.465062,-466.666667,437.513607
ALL,BUY,M5,DI_PLUS,7081,11.631682,10.976492,8.008730,14.551303,0.838946,41.478986
ALL,BUY,M5,DI_MINUS,7081,26.663649,26.553336,21.327154,31.916740,2.539130,54.930700
ALL,BUY,M5,DI_GAP,7081,15.980123,15.678558,8.719489,22.468930,0.000576,50.541625
ALL,BUY,M5,ATR,7081,1.615037,0.963000,0.586750,1.709250,0.095750,40.461000
ALL,BUY,M5,ATR_PCT_PRICE,7081,0.073259,0.057156,0.038835,0.088496,0.006766,0.838916
ALL,BUY,M5,EMA200_DIST_POINTS,7081,652.408412,352.830634,156.323034,716.390742,0.148117,29877.625254
ALL,BUY,M5,EMA200_DIST_ATR,7081,-1.369768,-1.805731,-4.723685,1.644187,-54.339991,51.638209
ALL,BUY,M15,RSI,7077,42.388177,42.322542,34.283856,50.182474,7.383082,83.351678
ALL,BUY,M15,ADX,7077,30.257073,27.955697,22.075959,35.983645,9.519466,88.801384
ALL,BUY,M15,CCI,7077,-99.962811,-113.269546,-164.611537,-31.402058,-466.666667,353.395771
ALL,BUY,M15,DI_PLUS,7077,13.163144,12.551246,9.205618,16.659149,0.523014,38.208274
ALL,BUY,M15,DI_MINUS,7077,24.457554,24.430306,19.095985,29.668075,1.117575,53.668770
